character_id,internal_character_id,character_name,character_name_long,tier_grade,tier_rank
0,2,C. Falcon,Captain Falcon,1,5
1,3,DK,Donkey Kong,3,15
2,1,Fox,Fox,0,0
3,24,G&W,Mr. Game & Watch,3,18
4,4,Kirby,Kirby,5,24
5,5,Bowser,Bowser,5,25
6,6,Link,Link,3,17
7,17,Luigi,Luigi,2,11
8,0,Mario,Mario,3,14
9,18,Marth,Marth,0,1
10,16,Mewtwo,Mewtwo,4,19
11,8,Ness,Ness,4,22
12,9,Peach,Peach,1,6
13,12,Pikachu,Pikachu,2,8
14,,Ice Climbers,Ice Climbers,,
15,15,Jiggs,Jigglypuff,0,2
16,13,Samus,Samus,2,10
17,14,Yoshi,Yoshi,2,9
18,19,Zelda,Zelda,4,23
19,7,Shiek,Sheik,1,4
20,22,Falco,Falco,0,3
21,20,Y. Link,Young Link,3,16
22,21,Doc,Dr. Mario,2,12
23,26,Roy,Roy,4,20
24,23,Pichu,Pichu,4,21
25,25,Ganon,Ganondorf,3,13
26,,Master Hand,Master Hand,,
27,,Wireframe Male,Wireframe Male,,
28,,Wireframe Female,Wireframe Female,,
29,,Giga Bowser,Giga Bowser,,
30,,Crazy Hand,Crazy Hand,,
31,,Sandbag,Sandbag,,
32,10,Popo,Popo,2,7
33,,User Select(Event) / None,User Select(Event) / None,,
,11,Nana,Nana,,